"","weir","Trap_Year","Species","Moved To Facility","Biological Sampling","Brood Stock","Distribution","Fisheries","General Holding","Natural Spawning","Nutrient Enhancement","Other","Recycled","Stray Relocation","Stray Removal","Stray Removal Distribution","Unknown","Within FINS Facility","Trap Mort","DOA","Killed","total_morts"
"188","Lostine River Weir",1999,"Chinook","NPT GRSME Program",NA,NA,1,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1
"189","Lostine River Weir",1999,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Lostine River Weir",1999,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Lostine River Weir",2000,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Lostine River Weir",2000,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA
"193","Lostine River Weir",2000,"Chinook","NPT GRSME Program",NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Lostine River Weir",2000,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Lostine River Weir",2000,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Lostine River Weir",2001,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Lostine River Weir",2001,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA
"198","Lostine River Weir",2001,"Chinook","NPT GRSME Program",NA,NA,NA,NA,NA,361,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,8
"199","Lostine River Weir",2001,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Lostine River Weir",2001,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Lostine River Weir",2001,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Lostine River Weir",2002,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Lostine River Weir",2002,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA
"204","Lostine River Weir",2002,"Chinook","NPT GRSME Program",NA,NA,NA,NA,NA,472,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"205","Lostine River Weir",2002,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Lostine River Weir",2002,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Lostine River Weir",2002,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Lostine River Weir",2003,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Lostine River Weir",2003,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA
"210","Lostine River Weir",2003,"Chinook","NPT GRSME Program",NA,NA,NA,NA,NA,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Lostine River Weir",2003,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,16,3,NA,NA,NA,NA,NA,NA,NA,3,0,0,3
"212","Lostine River Weir",2003,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,2,0,0,2
"213","Lostine River Weir",2003,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Lostine River Weir",2004,"Brook Trout","NPT GRSME Program",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
